City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,bethel,41.3712,-73.414,3.2,85,100,0.0,US,1675828698
276,ahipara,-35.1667,173.1667,21.85,59,22,4.04,NZ,1675828699
277,george,-33.963,22.4617,17.75,94,100,5.14,ZA,1675828582
278,bouca,6.5105,18.2733,20.48,19,7,0.04,CF,1675828699
279,erenhot,43.6475,111.9767,-6.27,47,100,1.46,CN,1675828700
280,yurginskoye,56.8189,67.3921,-25.64,100,100,1.11,RU,1675828700
281,los llanos de aridane,28.6585,-17.9182,12.86,55,20,2.57,ES,1675828700
282,saint-louis,16.3333,-15.0,19.8,19,97,4.99,SN,1675828701
283,rocha,-34.4833,-54.3333,21.32,77,45,3.6,UY,1675828701
284,mukhen,48.1,136.1,-16.25,64,4,4.09,RU,1675828701
285,namibe,-15.1961,12.1522,20.72,77,95,2.55,AO,1675828702
286,birao,10.2849,22.7882,20.68,20,11,5.17,CF,1675828702
287,santa maria,-29.6842,-53.8069,20.61,78,20,2.57,BR,1675828436
288,barguzin,53.6167,109.6167,-14.19,86,99,1.1,RU,1675828702
289,lavumisa,-27.31,31.892,22.02,96,68,1.02,SZ,1675828703
290,xining,36.6167,101.7667,-0.26,67,100,0.93,CN,1675828703
291,hovd,48.0056,91.6419,-14.54,74,98,1.18,MN,1675828704
292,kokkola,63.8385,23.1307,-0.91,96,100,3.6,FI,1675828704
293,raudeberg,61.9875,5.1352,7.2,74,92,15.67,NO,1675828704
294,ardabil,38.2498,48.2933,-3.25,86,20,4.12,IR,1675828705
295,batagay-alyta,67.8006,130.4114,-37.05,100,97,0.63,RU,1675828705
296,christchurch,-43.5333,172.6333,22.4,54,20,6.69,NZ,1675828585
297,maxixe,-23.8597,35.3472,25.07,89,6,2.29,MZ,1675828706
298,hami,42.8,93.45,1.37,77,100,2.26,CN,1675828706
299,porto belo,-27.1578,-48.5531,24.97,81,22,1.43,BR,1675828707
300,fortuna,40.5982,-124.1573,9.51,86,100,0.0,US,1675828707
301,fukue,32.6881,128.8419,14.2,54,75,5.66,JP,1675828708
302,vostok,46.4856,135.8833,-15.81,79,52,6.08,RU,1675828708
303,ambilobe,-13.2,49.05,23.34,93,100,0.97,MG,1675828708
304,garissa,-0.4536,39.6401,23.54,83,9,2.17,KE,1675828709
305,bridlington,54.0831,-0.1919,5.85,88,20,4.92,GB,1675828709
306,muros,42.7762,-9.0603,5.61,80,28,6.9,ES,1675828709
307,jieshi,22.8134,115.8257,19.99,73,37,10.34,CN,1675828710
308,anadyr,64.75,177.4833,-31.72,75,0,4.0,RU,1675828710
309,bobo dioulasso,11.1771,-4.2979,23.25,31,57,0.0,BF,1675828710
310,batemans bay,-35.7167,150.1833,21.17,82,100,0.84,AU,1675828711
311,goderich,43.7501,-81.7165,2.18,87,100,4.12,CA,1675828570
312,kazerun,29.6195,51.6541,10.93,91,100,1.18,IR,1675828711
313,porto santo,33.072,-16.3415,14.21,77,40,6.69,PT,1675828712
314,codrington,-38.2667,141.9667,19.23,59,63,6.44,AU,1675828712
315,hasaki,35.7333,140.8333,11.22,70,100,9.41,JP,1675828712
316,sumbe,-11.2061,13.8437,23.1,82,99,2.33,AO,1675828713
